epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,293.419,1.65823,3.9013,1.32231,0.70427,0.04782,0.02755,0.01527,1.63176,2.61556,1.36046,0.00995238,0.00331746,0.00995238,0.00331746,0.00995238,0.00331746,0.00995238,0.00331746
2,395.884,1.61287,2.543,1.277,0.48641,0.06658,0.03736,0.02252,1.51323,2.36765,1.23193,0.0197549,0.00658495,0.0197549,0.00658495,0.0197549,0.00658495,0.0197549,0.00658495
3,493.777,1.63279,2.47327,1.26503,0.34342,0.05634,0.01767,0.00907,1.79791,3.9435,1.38802,0.0293593,0.00978644,0.0293593,0.00978644,0.0293593,0.00978644,0.0293593,0.00978644
4,595.784,1.69949,2.50977,1.28681,0.33916,0.04891,0.01973,0.01126,1.73061,4.21146,1.33012,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,689.736,1.65415,2.40605,1.27152,0.30619,0.095,0.04312,0.02508,1.5558,2.47473,1.30508,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,783.269,1.60549,2.28403,1.25611,0.35357,0.09295,0.05404,0.03272,1.51755,2.2288,1.2446,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,876.868,1.59883,2.2098,1.24361,0.33922,0.09456,0.05051,0.03049,1.51066,2.21387,1.23393,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,967.818,1.56992,2.14339,1.23555,0.38623,0.06386,0.04198,0.02517,1.60558,2.4834,1.29527,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1061.34,1.55911,2.08788,1.22527,0.33813,0.11398,0.06004,0.03728,1.4848,2.24454,1.22588,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1153.81,1.54122,2.0394,1.2218,0.2879,0.12034,0.07028,0.04357,1.44821,2.01609,1.21156,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1246.15,1.51681,2.00902,1.20759,0.36184,0.10778,0.06877,0.0427,1.46252,2.03528,1.22232,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1336.51,1.51368,1.9908,1.21189,0.37226,0.10724,0.07492,0.04689,1.42994,1.93946,1.20612,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1429.26,1.50973,1.94472,1.20029,0.40859,0.10672,0.0759,0.04852,1.40868,1.97127,1.17972,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1521.75,1.51175,1.90327,1.20116,0.38195,0.12407,0.08959,0.05719,1.40252,1.85041,1.18356,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1613.53,1.50943,1.9039,1.19881,0.39056,0.13138,0.0828,0.05158,1.40048,1.91266,1.19033,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1704.98,1.48852,1.84486,1.19582,0.36643,0.1264,0.09133,0.05881,1.3918,1.86505,1.18967,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1797.28,1.48252,1.83591,1.1856,0.3846,0.13426,0.09604,0.06141,1.37891,1.86908,1.18717,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1889.59,1.47323,1.82467,1.18653,0.37482,0.11491,0.09041,0.0578,1.39111,1.8045,1.16923,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1981.18,1.46858,1.78793,1.185,0.40583,0.13226,0.09392,0.05975,1.37367,1.80517,1.1749,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2071.84,1.46367,1.77327,1.18261,0.35219,0.14752,0.09395,0.05932,1.37275,1.84503,1.1666,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2164.27,1.46998,1.74576,1.17212,0.36352,0.13696,0.09246,0.05868,1.38941,1.79859,1.1757,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2256.68,1.46205,1.74473,1.17335,0.33873,0.15119,0.10585,0.06904,1.36769,1.76934,1.15799,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2349.46,1.44421,1.71033,1.16629,0.32327,0.14776,0.10425,0.0673,1.35876,1.78235,1.15813,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2441.92,1.46342,1.70191,1.16921,0.3665,0.14309,0.10818,0.07023,1.34899,1.72686,1.15923,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2533.42,1.44754,1.6825,1.1647,0.35409,0.14715,0.10976,0.07104,1.34716,1.72059,1.15202,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2625.1,1.42587,1.65053,1.16029,0.38045,0.1439,0.10712,0.06892,1.34359,1.74215,1.14221,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2718.34,1.43312,1.63093,1.15678,0.34168,0.14646,0.10892,0.0707,1.31834,1.69026,1.14071,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2811.42,1.41686,1.60235,1.15304,0.40241,0.15685,0.11915,0.0787,1.3247,1.66466,1.14583,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
