epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2523,0.77979,3.75121,1.20323,0.39423,0.22347,0.18141,0.14347,0.7217,3.4402,1.1689,0.000183776,0.000183776,0.000183776
2,196.853,0.82908,2.98881,1.21401,0.31371,0.53353,0.3786,0.30981,0.80164,2.96226,1.22898,0.000361801,0.000361801,0.000361801
3,294.357,0.84328,2.47453,1.2236,0.39239,0.51001,0.43982,0.34984,0.81542,2.77717,1.24135,0.000532487,0.000532487,0.000532487
4,411.388,0.84453,2.26808,1.20657,0.38428,0.4671,0.44132,0.35192,0.86895,2.47551,1.28601,0.000522974,0.000522974,0.000522974
5,539.284,0.81352,2.16835,1.19514,0.66175,0.52936,0.56026,0.46665,0.80685,2.10118,1.24247,0.000511965,0.000511965,0.000511965
6,659.73,0.77791,1.98412,1.15933,0.53833,0.57075,0.57104,0.4626,0.80098,2.13405,1.25209,0.000500956,0.000500956,0.000500956
7,772.553,0.76898,1.89368,1.15675,0.62176,0.66893,0.62284,0.4944,0.81679,2.12487,1.23803,0.000489947,0.000489947,0.000489947
8,887.805,0.76722,1.78086,1.14839,0.67521,0.66608,0.68497,0.5712,0.74669,1.79974,1.17463,0.000478938,0.000478938,0.000478938
9,1071.39,0.75734,1.71809,1.13191,0.54059,0.63432,0.61117,0.50754,0.74528,1.91176,1.19273,0.00046793,0.00046793,0.00046793
10,1179.48,0.72967,1.65208,1.12257,0.69423,0.67086,0.68965,0.57458,0.74846,1.73939,1.18373,0.000456921,0.000456921,0.000456921
11,1456.98,0.70312,1.53931,1.11327,0.72961,0.62609,0.66134,0.55744,0.72226,1.57376,1.17563,0.000445912,0.000445912,0.000445912
12,1594.29,0.71609,1.56468,1.11264,0.70215,0.67376,0.70261,0.59311,0.71483,1.56191,1.16714,0.000434903,0.000434903,0.000434903
13,1730.29,0.6807,1.47375,1.10789,0.68784,0.69191,0.69294,0.59211,0.68166,1.58565,1.1355,0.000423894,0.000423894,0.000423894
14,1864.24,0.67459,1.46535,1.10267,0.55219,0.64695,0.61569,0.51807,0.73903,1.80935,1.19436,0.000412886,0.000412886,0.000412886
15,1986.8,0.67149,1.43543,1.10719,0.71479,0.68644,0.74882,0.6333,0.69912,1.47946,1.15044,0.000401877,0.000401877,0.000401877
16,2108.68,0.65167,1.38063,1.08887,0.69959,0.7288,0.75697,0.64265,0.67346,1.45704,1.11011,0.000390868,0.000390868,0.000390868
17,2618.49,0.65626,1.31664,1.08201,0.75538,0.62763,0.68875,0.57507,0.69869,1.32783,1.14513,0.000379859,0.000379859,0.000379859
18,3720.44,0.63839,1.32859,1.06702,0.7518,0.74935,0.77883,0.64373,0.69879,1.32892,1.14912,0.00036885,0.00036885,0.00036885
19,3855.11,0.64571,1.27788,1.0811,0.71422,0.78389,0.7682,0.65223,0.69558,1.3286,1.15112,0.000357842,0.000357842,0.000357842
20,3985.73,0.62427,1.22747,1.05816,0.75201,0.79821,0.79696,0.67761,0.64397,1.22693,1.08719,0.000346833,0.000346833,0.000346833
21,4115.81,0.62615,1.19136,1.06067,0.74183,0.7699,0.78987,0.67957,0.62798,1.23917,1.09132,0.000335824,0.000335824,0.000335824
22,4248.16,0.59853,1.1673,1.04489,0.69673,0.78529,0.75824,0.65328,0.64657,1.29866,1.09116,0.000324815,0.000324815,0.000324815
23,4381.53,0.61013,1.15959,1.05276,0.72484,0.77507,0.79522,0.69049,0.62028,1.20892,1.08336,0.000313806,0.000313806,0.000313806
24,4505.59,0.57891,1.12111,1.04074,0.76395,0.78368,0.79221,0.67843,0.64194,1.19532,1.09524,0.000302798,0.000302798,0.000302798
25,4620.33,0.58809,1.09785,1.03666,0.76707,0.77454,0.7973,0.69923,0.61314,1.1661,1.07477,0.000291789,0.000291789,0.000291789
26,4739.98,0.58353,1.04396,1.04125,0.78864,0.74194,0.79172,0.68576,0.63727,1.18216,1.09134,0.00028078,0.00028078,0.00028078
27,4855.76,0.60176,1.04081,1.0407,0.76282,0.73799,0.78393,0.67992,0.62092,1.19062,1.07707,0.000269771,0.000269771,0.000269771
28,4972.12,0.59138,1.06452,1.04911,0.76522,0.76579,0.79878,0.68247,0.62185,1.18491,1.06691,0.000258762,0.000258762,0.000258762
29,5086.19,0.57302,0.96931,1.02042,0.75904,0.78892,0.79404,0.69172,0.60238,1.15642,1.06356,0.000247754,0.000247754,0.000247754
30,5200.81,0.56854,0.9952,1.0352,0.73539,0.77925,0.78869,0.69794,0.62857,1.13024,1.07499,0.000236745,0.000236745,0.000236745
31,5310.83,0.55283,0.97265,1.02165,0.75373,0.74255,0.78058,0.67387,0.65057,1.17386,1.10422,0.000225736,0.000225736,0.000225736
32,5418.6,0.54513,0.96863,1.02675,0.80674,0.75011,0.79673,0.6965,0.62033,1.10622,1.06307,0.000214727,0.000214727,0.000214727
33,5538.3,0.54201,0.90575,1.01505,0.79985,0.76674,0.80783,0.70362,0.60444,1.09533,1.06477,0.000203718,0.000203718,0.000203718
34,5651.97,0.55133,0.90245,1.02121,0.7707,0.80659,0.8171,0.71358,0.60549,1.08229,1.06368,0.00019271,0.00019271,0.00019271
35,5762.67,0.52848,0.84168,1.00934,0.76097,0.80641,0.81114,0.70904,0.59879,1.09755,1.05377,0.000181701,0.000181701,0.000181701
36,5877.72,0.54433,0.90392,1.0142,0.76117,0.80509,0.806,0.70476,0.58362,1.07023,1.04123,0.000170692,0.000170692,0.000170692
37,5983.38,0.53241,0.88324,1.00302,0.77701,0.78079,0.79026,0.68841,0.59293,1.10393,1.05393,0.000159683,0.000159683,0.000159683
38,6096.59,0.52016,0.86744,1.00449,0.8148,0.75881,0.8154,0.71701,0.575,1.06049,1.05141,0.000148674,0.000148674,0.000148674
39,6206.97,0.51354,0.82756,0.99194,0.81218,0.76553,0.81245,0.71515,0.55806,1.03237,1.02541,0.000137666,0.000137666,0.000137666
40,6324.15,0.5137,0.81306,0.99869,0.81101,0.75744,0.81077,0.71744,0.55369,1.06309,1.02476,0.000126657,0.000126657,0.000126657
41,6448.91,0.43126,0.84556,0.91912,0.79333,0.76612,0.8034,0.69908,0.58794,1.07941,1.0438,0.000115648,0.000115648,0.000115648
42,6567.24,0.42828,0.81281,0.92006,0.79942,0.79726,0.82609,0.7112,0.5781,1.06483,1.04035,0.000104639,0.000104639,0.000104639
43,6685.86,0.42723,0.78201,0.9183,0.83038,0.7614,0.82125,0.72466,0.57249,1.065,1.04753,9.36304e-05,9.36304e-05,9.36304e-05
44,6806.31,0.41362,0.74111,0.9036,0.83129,0.76526,0.81684,0.72188,0.54499,1.04052,1.01761,8.26216e-05,8.26216e-05,8.26216e-05
45,6917.74,0.40924,0.74703,0.91071,0.83056,0.7741,0.82802,0.73048,0.54307,1.03985,1.01498,7.16128e-05,7.16128e-05,7.16128e-05
46,7037.64,0.39309,0.71465,0.90139,0.84798,0.76729,0.82946,0.72597,0.54706,1.03621,1.03003,6.0604e-05,6.0604e-05,6.0604e-05
47,7169.63,0.39118,0.70877,0.89457,0.81497,0.79483,0.82514,0.72762,0.53544,1.02298,1.015,4.95952e-05,4.95952e-05,4.95952e-05
48,7303.73,0.38167,0.68353,0.89665,0.85507,0.77663,0.82584,0.72545,0.53449,1.01408,1.01237,3.85864e-05,3.85864e-05,3.85864e-05
49,7439.43,0.38489,0.67741,0.88777,0.85568,0.77208,0.82748,0.72735,0.52814,1.01746,1.00534,2.75776e-05,2.75776e-05,2.75776e-05
50,7567.91,0.38092,0.66641,0.89698,0.8569,0.75871,0.8279,0.72814,0.52639,1.02052,1.00431,1.65688e-05,1.65688e-05,1.65688e-05
